country,country_name,type,level,year,amount,difference
SK,Slovakia,Total net production,Total,2017,25692,-2610
SK,Slovakia,Energy supplied,Total,2018,26997,-3280
SK,Slovakia,Total net production,Total,2018,23717,-3280
TR,Turkey,Energy supplied,Total,2016,266815,-4878
TR,Turkey,Total net production,Total,2016,261937,-4878
TR,Turkey,Energy supplied,Total,2017,283682.114,575.405
TR,Turkey,Total net production,Total,2017,284257.519,575.405
TR,Turkey,Energy supplied,Total,2018,288675.006,607.572
TR,Turkey,Total net production,Total,2018,289282.578,607.572
UA,Ukraine,Energy supplied,Total,2016,146503,5386
UA,Ukraine,Total net production,Total,2016,151889,5386
UA,Ukraine,Energy supplied,Total,2017,138155.6,6750.2
UA,Ukraine,Total net production,Total,2017,144905.8,6750.2
UA,Ukraine,Energy supplied,Total,2018,156020.2,3052.3
UA,Ukraine,Total net production,Total,2018,159072.5,3052.3
